X	Y	Z	I
-45.7445    	0000	136.3463    	757
-45.6732    	0000	136.3514    	749
-45.6077    	0000	136.3819    	736
-45.5504    	0000	136.4484    	803
-45.4930    	0000	136.5148    	744
-45.4286    	0000	136.5506    	739
-45.3688    	0000	136.6068    	782
-45.3125    	0000	136.6785    	702
-45.2573    	0000	136.7554    	778
-45.1986    	0000	136.8169    	743
-45.1341    	0000	136.8527    	746
-45.0776    	0000	136.9246    	795
-45.0188    	0000	136.9862    	743
-44.9530    	0000	137.0169    	776
-44.8896    	0000	137.0580    	776
-44.8364    	0000	137.1454    	742
-44.7694    	0000	137.1711    	729
-44.7047    	0000	137.2071    	734
-44.6538    	0000	137.3049    	732
-44.5901    	0000	137.3461    	736
-44.5334    	0000	137.4183    	806
-44.4662    	0000	137.4440    	804
-44.4082    	0000	137.5111    	733
-44.3422    	0000	137.5420    	732
-44.2830    	0000	137.6039    	798
-44.2238    	0000	137.6659    	737
-44.1588    	0000	137.7021    	741
-44.1110    	0000	137.8159    	757
-44.0471    	0000	137.8573    	767
-43.9866    	0000	137.9142    	822
-43.9317    	0000	137.9972    	758
-43.8700    	0000	138.0490    	764
-43.8174    	0000	138.1424    	756
-43.7522    	0000	138.1787    	752
-43.6938    	0000	138.2463    	810
-43.6354    	0000	138.3138    	732
-43.5713    	0000	138.3554    	740
-43.5128    	0000	138.4230    	818
-43.4565    	0000	138.5011    	759
-43.3911    	0000	138.5375    	766
-43.3314    	0000	138.6001    	828
-43.2716    	0000	138.6626    	751
-43.2074    	0000	138.7043    	751
-43.1543    	0000	138.7983    	761
-43.0910    	0000	138.8453    	756
-43.0334    	0000	138.9185    	811
-42.9746    	0000	138.9865    	749
-42.9112    	0000	139.0335    	761
-42.8602    	0000	139.1383    	762
-42.7979    	0000	139.1907    	757
-42.7400    	0000	139.2641    	813
-42.6799    	0000	139.3271    	726
-42.6142    	0000	139.3637    	719
-42.5618    	0000	139.4636    	732
-42.5005    	0000	139.5214    	749
-42.4502    	0000	139.6320    	780
-42.3822    	0000	139.6582    	798
-42.3163    	0000	139.6949    	777
-42.2593    	0000	139.7740    	817
-42.2000    	0000	139.8425    	744
-42.1418    	0000	139.9164    	798
-42.0813    	0000	139.9797    	724
-42.0164    	0000	140.0219    	736
-41.9581    	0000	140.0959    	821
-41.9009    	0000	140.1752    	765
-41.8447    	0000	140.2599    	831
-41.7873    	0000	140.3394    	746
-41.7212    	0000	140.3764    	717
-41.6626    	0000	140.4506    	767
-41.6063    	0000	140.5355    	709
-41.5477    	0000	140.6099    	802
-41.4890    	0000	140.6843    	733
-41.4304    	0000	140.7587    	779
-41.3706    	0000	140.8279    	742
-41.3053    	0000	140.8704    	771
-41.2476    	0000	140.9503    	836
-41.1909    	0000	141.0356    	761
-41.1332    	0000	141.1157    	832
-41.0753    	0000	141.1958    	773
-41.0175    	0000	141.2759    	813
-40.9585    	0000	141.3508    	718
-40.8951    	0000	141.4042    	716
-40.8425    	0000	141.5114    	733
-40.7770    	0000	141.5542    	738
-40.7178    	0000	141.6292    	799
-40.6597    	0000	141.7097    	751
-40.6026    	0000	141.7956    	822
-40.5444    	0000	141.8762    	747
-40.4798    	0000	141.9245    	747
-40.4268    	0000	142.0323    	765
-40.3610    	0000	142.0752    	758
-40.3016    	0000	142.1506    	803
-40.2442    	0000	142.2369    	734
-40.1858    	0000	142.3179    	797
-40.1241    	0000	142.3826    	732
-40.0603    	0000	142.4366    	743
-40.0102    	0000	142.5611    	768
-39.9473    	0000	142.6206    	747
-39.8929    	0000	142.7236    	719
-39.8289    	0000	142.7777    	723
-39.7765    	0000	142.8917    	721
-39.7134    	0000	142.9514    	709
-39.6609    	0000	143.0656    	717
-39.5968    	0000	143.1199    	734
-39.5378    	0000	143.2015    	791
-39.4799    	0000	143.2887    	736
-39.4209    	0000	143.3704    	825
-39.3629    	0000	143.4577    	765
-39.3037    	0000	143.5396    	817
-39.2435    	0000	143.6161    	734
-39.1843    	0000	143.6981    	801
-39.1272    	0000	143.7912    	747
-39.0700    	0000	143.8843    	806
-39.0117    	0000	143.9720    	744
-38.9523    	0000	144.0543    	793
-38.8918    	0000	144.1312    	706
-38.8344    	0000	144.2246    	770
-38.7770    	0000	144.3181    	728
-38.7174    	0000	144.4007    	809
-38.6588    	0000	144.4888    	746
-38.6002    	0000	144.5771    	814
-38.5405    	0000	144.6598    	751
-38.4828    	0000	144.7537    	797
-38.4240    	0000	144.8422    	715
-38.3642    	0000	144.9251    	773
-38.3063    	0000	145.0193    	717
-38.2505    	0000	145.1246    	809
-38.1915    	0000	145.2134    	746
-38.1294    	0000	145.2855    	780
-38.0704    	0000	145.3744    	713
-38.0123    	0000	145.4689    	781
-37.9552    	0000	145.5691    	718
-37.8970    	0000	145.6639    	777
-37.8398    	0000	145.7643    	721
-37.7794    	0000	145.8480    	808
-37.7190    	0000	145.9317    	737
-37.6607    	0000	146.0267    	781
-37.6032    	0000	146.1275    	710
-37.5498    	0000	146.2508    	710
-37.4913    	0000	146.3461    	761
-37.4327    	0000	146.4416    	695
-37.3750    	0000	146.5427    	767
-37.3173    	0000	146.6439    	711
-37.2576    	0000	146.7339    	784
-37.1987    	0000	146.8297    	733
-37.1379    	0000	146.9142    	801
-37.0790    	0000	147.0101    	721
-37.0290    	0000	147.1572    	728
-36.9730    	0000	147.2704    	803
-36.9139    	0000	147.3666    	734
-36.8538    	0000	147.4572    	802
-36.7946    	0000	147.5536    	724
-36.7374    	0000	147.6615    	760
-36.6861    	0000	147.8038    	755
-36.6267    	0000	147.9005    	712
-36.5663    	0000	147.9915    	795
-36.5079    	0000	148.0941    	722
-36.4494    	0000	148.1968    	775
-36.3898    	0000	148.2939    	695
-36.3312    	0000	148.3968    	737
-36.2794    	0000	148.5400    	727
-36.2217    	0000	148.6489    	674
-36.1629    	0000	148.7521    	747
-36.1109    	0000	148.8958    	743
