X	Y	Z	I
-45.7445    	0000	136.3463    	762
-45.6732    	0000	136.3514    	751
-45.6066    	0000	136.3768    	737
-45.5504    	0000	136.4484    	802
-45.4930    	0000	136.5148    	744
-45.4286    	0000	136.5506    	740
-45.3688    	0000	136.6068    	783
-45.3125    	0000	136.6785    	704
-45.2504    	0000	136.7246    	716
-45.1986    	0000	136.8169    	743
-45.1341    	0000	136.8527    	745
-45.0776    	0000	136.9246    	794
-45.0188    	0000	136.9862    	744
-44.9530    	0000	137.0169    	779
-44.8896    	0000	137.0580    	777
-44.8364    	0000	137.1454    	739
-44.7694    	0000	137.1711    	726
-44.7047    	0000	137.2071    	734
-44.6538    	0000	137.3049    	735
-44.5901    	0000	137.3461    	741
-44.5322    	0000	137.4131    	809
-44.4662    	0000	137.4440    	806
-44.4082    	0000	137.5111    	732
-44.3422    	0000	137.5420    	729
-44.2830    	0000	137.6039    	795
-44.2238    	0000	137.6659    	737
-44.1588    	0000	137.7021    	743
-44.1110    	0000	137.8159    	761
-44.0471    	0000	137.8573    	769
-43.9866    	0000	137.9142    	821
-43.9317    	0000	137.9972    	756
-43.8700    	0000	138.0490    	763
-43.8174    	0000	138.1424    	754
-43.7522    	0000	138.1787    	751
-43.6938    	0000	138.2463    	810
-43.6354    	0000	138.3138    	732
-43.5713    	0000	138.3554    	740
-43.5207    	0000	138.4595    	753
-43.4576    	0000	138.5064    	760
-43.3911    	0000	138.5375    	767
-43.3314    	0000	138.6001    	827
-43.2716    	0000	138.6626    	748
-43.2074    	0000	138.7043    	751
-43.1543    	0000	138.7983    	762
-43.0910    	0000	138.8453    	756
-43.0334    	0000	138.9185    	810
-42.9746    	0000	138.9865    	748
-42.9112    	0000	139.0335    	760
-42.8602    	0000	139.1383    	764
-42.7979    	0000	139.1907    	761
-42.7400    	0000	139.2641    	815
-42.6799    	0000	139.3271    	728
-42.6142    	0000	139.3637    	721
-42.5607    	0000	139.4583    	733
-42.4994    	0000	139.5161    	751
-42.4491    	0000	139.6267    	781
-42.3822    	0000	139.6582    	798
-42.3163    	0000	139.6949    	774
-42.2593    	0000	139.7740    	814
-42.2000    	0000	139.8425    	746
-42.1418    	0000	139.9164    	802
-42.0813    	0000	139.9797    	726
-42.0164    	0000	140.0219    	735
-41.9581    	0000	140.0959    	820
-41.9009    	0000	140.1752    	765
-41.8447    	0000	140.2599    	832
-41.7873    	0000	140.3394    	745
-41.7212    	0000	140.3764    	715
-41.6626    	0000	140.4506    	763
-41.6063    	0000	140.5355    	707
-41.5477    	0000	140.6099    	803
-41.4890    	0000	140.6843    	733
-41.4304    	0000	140.7587    	779
-41.3706    	0000	140.8279    	742
-41.3053    	0000	140.8704    	773
-41.2476    	0000	140.9503    	836
-41.1909    	0000	141.0356    	761
-41.1332    	0000	141.1157    	831
-41.0753    	0000	141.1958    	769
-41.0175    	0000	141.2759    	810
-40.9585    	0000	141.3508    	718
-40.8951    	0000	141.4042    	719
-40.8425    	0000	141.5114    	734
-40.7770    	0000	141.5542    	735
-40.7178    	0000	141.6292    	797
-40.6597    	0000	141.7097    	752
-40.6026    	0000	141.7956    	825
-40.5444    	0000	141.8762    	749
-40.4798    	0000	141.9245    	749
-40.4268    	0000	142.0323    	765
-40.3610    	0000	142.0752    	756
-40.3016    	0000	142.1506    	800
-40.2442    	0000	142.2369    	732
-40.1869    	0000	142.3233    	797
-40.1252    	0000	142.3881    	731
-40.0603    	0000	142.4366    	741
-40.0112    	0000	142.5665    	769
-39.9537    	0000	142.6532    	815
-39.8918    	0000	142.7181    	718
-39.8289    	0000	142.7777    	723
-39.7765    	0000	142.8917    	722
-39.7145    	0000	142.9568    	708
-39.6620    	0000	143.0711    	715
-39.5968    	0000	143.1199    	731
